,Series_Title,Bag_of_Word,Bag_of_Word_stem,Bag_of_Word_lema,Top 5 stem,Top 5 lema
0,The Shawshank Redemption,two imprisoned men bond number years finding solace eventual redemption acts common decency two imprisoned men bond number years finding solace eventual redemption acts common decency drama frank darabont tim robbins morgan freeman bob gunton william sadler,two imprison men bond number year find solac eventu redempt act common decenc two imprison men bond number year find solac eventu redempt act common decenc drama frank darabont tim robbin morgan freeman bob gunton william sadler,two imprison men bond number years find solace eventual redemption act common decency two imprison men bond number years find solace eventual redemption act common decency drama frank darabont tim robbins morgan freeman bob gunton william sadler,"[68, 350, 174, 508, 773]","[68, 350, 174, 508, 12]"
1,The Godfather,organized crime dynastys aging patriarch transfers control clandestine empire reluctant son organized crime dynastys aging patriarch transfers control clandestine empire reluctant son crime drama francis ford coppola marlon brando al pacino james caan diane keaton,organ crime dynasti age patriarch transfer control clandestin empir reluct son organ crime dynasti age patriarch transfer control clandestin empir reluct son crime drama franci ford coppola marlon brando al pacino jame caan dian keaton,organize crime dynastys age patriarch transfer control clandestine empire reluctant son organize crime dynastys age patriarch transfer control clandestine empire reluctant son crime drama francis ford coppola marlon brando al pacino jam caan diane keaton,"[974, 3, 814, 299, 186]","[974, 3, 814, 299, 186]"
2,The Dark Knight,menace known joker wreaks havoc chaos people gotham batman must accept one greatest psychological physical tests ability fight injustice menace known joker wreaks havoc chaos people gotham batman must accept one greatest psychological physical tests ability fight injustice action crime drama christopher nolan christian bale heath ledger aaron eckhart michael caine,menac known joker wreak havoc chao peopl gotham batman must accept one greatest psycholog physic test abil fight injustic menac known joker wreak havoc chao peopl gotham batman must accept one greatest psycholog physic test abil fight injustic action crime drama christoph nolan christian bale heath ledger aaron eckhart michael cain,menace know joker wreak havoc chaos people gotham batman must accept one greatest psychological physical test ability fight injustice menace know joker wreak havoc chaos people gotham batman must accept one greatest psychological physical test ability fight injustice action crime drama christopher nolan christian bale heath ledger aaron eckhart michael caine,"[155, 63, 162, 872, 674]","[155, 86, 63, 162, 872]"
3,The Godfather: Part II,early life career vito corleone new york city portrayed son michael expands tightens grip family crime syndicate early life career vito corleone new york city portrayed son michael expands tightens grip family crime syndicate crime drama francis ford coppola al pacino robert de niro robert duvall diane keaton,earli life career vito corleon new york citi portray son michael expand tighten grip famili crime syndic earli life career vito corleon new york citi portray son michael expand tighten grip famili crime syndic crime drama franci ford coppola al pacino robert de niro robert duval dian keaton,early life career vito corleone new york city portray son michael expand tighten grip family crime syndicate early life career vito corleone new york city portray son michael expand tighten grip family crime syndicate crime drama francis ford coppola al pacino robert de niro robert duvall diane keaton,"[974, 1, 720, 664, 933]","[974, 1, 664, 933, 87]"
4,12 Angry Men,jury holdout attempts prevent miscarriage justice forcing colleagues reconsider evidence jury holdout attempts prevent miscarriage justice forcing colleagues reconsider evidence crime drama sidney lumet henry fonda lee j cobb martin balsam john fiedler,juri holdout attempt prevent miscarriag justic forc colleagu reconsid evid juri holdout attempt prevent miscarriag justic forc colleagu reconsid evid crime drama sidney lumet henri fonda lee j cobb martin balsam john fiedler,jury holdout attempt prevent miscarriage justice force colleagues reconsider evidence jury holdout attempt prevent miscarriage justice force colleagues reconsider evidence crime drama sidney lumet henry fonda lee j cobb martin balsam john fiedler,"[457, 849, 450, 317, 304]","[457, 849, 450, 317, 304]"
5,The Lord of the Rings: The Return of the King,gandalf aragorn lead world men saurons army draw gaze frodo sam approach mount doom one ring gandalf aragorn lead world men saurons army draw gaze frodo sam approach mount doom one ring action adventure drama peter jackson elijah wood viggo mortensen ian mckellen orlando bloom,gandalf aragorn lead world men sauron armi draw gaze frodo sam approach mount doom one ring gandalf aragorn lead world men sauron armi draw gaze frodo sam approach mount doom one ring action adventur drama peter jackson elijah wood viggo mortensen ian mckellen orlando bloom,gandalf aragorn lead world men saurons army draw gaze frodo sam approach mount doom one ring gandalf aragorn lead world men saurons army draw gaze frodo sam approach mount doom one ring action adventure drama peter jackson elijah wood viggo mortensen ian mckellen orlando bloom,"[13, 10, 985, 129, 856]","[13, 10, 985, 129, 856]"
6,Pulp Fiction,lives two mob hitmen boxer gangster wife pair diner bandits intertwine four tales violence redemption lives two mob hitmen boxer gangster wife pair diner bandits intertwine four tales violence redemption crime drama quentin tarantino john travolta uma thurman samuel l jackson bruce willis,live two mob hitmen boxer gangster wife pair diner bandit intertwin four tale violenc redempt live two mob hitmen boxer gangster wife pair diner bandit intertwin four tale violenc redempt crime drama quentin tarantino john travolta uma thurman samuel l jackson bruce willi,live two mob hitmen boxer gangster wife pair diner bandits intertwine four tales violence redemption live two mob hitmen boxer gangster wife pair diner bandits intertwine four tales violence redemption crime drama quentin tarantino john travolta uma thurman samuel l jackson bruce willis,"[668, 229, 669, 588, 15]","[668, 669, 15, 773, 801]"
7,Schindler's List,germanoccupied poland world war ii industrialist oskar schindler gradually becomes concerned jewish workforce witnessing persecution nazis germanoccupied poland world war ii industrialist oskar schindler gradually becomes concerned jewish workforce witnessing persecution nazis biography drama history steven spielberg liam neeson ralph fiennes ben kingsley caroline goodall,germanoccupi poland world war ii industrialist oskar schindler gradual becom concern jewish workforc wit persecut nazi germanoccupi poland world war ii industrialist oskar schindler gradual becom concern jewish workforc wit persecut nazi biographi drama histori steven spielberg liam neeson ralph fienn ben kingsley carolin goodal,germanoccupied poland world war ii industrialist oskar schindler gradually become concern jewish workforce witness persecution nazis germanoccupied poland world war ii industrialist oskar schindler gradually become concern jewish workforce witness persecution nazis biography drama history steven spielberg liam neeson ralph fiennes ben kingsley caroline goodall,"[38, 93, 772, 832, 179]","[38, 772, 832, 179, 542]"
8,Inception,thief steals corporate secrets use dreamsharing technology given inverse task planting idea mind ceo thief steals corporate secrets use dreamsharing technology given inverse task planting idea mind ceo action adventure scifi christopher nolan leonardo dicaprio joseph gordonlevitt elliot page ken watanabe,thief steal corpor secret use dreamshar technolog given invers task plant idea mind ceo thief steal corpor secret use dreamshar technolog given invers task plant idea mind ceo action adventur scifi christoph nolan leonardo dicaprio joseph gordonlevitt elliot page ken watanab,thief steal corporate secrets use dreamsharing technology give inverse task plant idea mind ceo thief steal corporate secrets use dreamsharing technology give inverse task plant idea mind ceo action adventure scifi christopher nolan leonardo dicaprio joseph gordonlevitt elliot page ken watanabe,"[843, 645, 582, 642, 708]","[645, 582, 642, 708, 155]"
9,Fight Club,insomniac office worker devilmaycare soapmaker form underground fight club evolves something much much insomniac office worker devilmaycare soapmaker form underground fight club evolves something much much drama david fincher brad pitt edward norton meat loaf zach grenier,insomniac offic worker devilmaycar soapmak form underground fight club evolv someth much much insomniac offic worker devilmaycar soapmak form underground fight club evolv someth much much drama david fincher brad pitt edward norton meat loaf zach grenier,insomniac office worker devilmaycare soapmaker form underground fight club evolve something much much insomniac office worker devilmaycare soapmaker form underground fight club evolve something much much drama david fincher brad pitt edward norton meat loaf zach grenier,"[971, 116, 778, 636, 928]","[971, 778, 636, 928, 761]"
10,The Lord of the Rings: The Fellowship of the Ring,meek hobbit shire eight companions set journey destroy powerful one ring save middleearth dark lord sauron meek hobbit shire eight companions set journey destroy powerful one ring save middleearth dark lord sauron action adventure drama peter jackson elijah wood ian mckellen orlando bloom sean bean,meek hobbit shire eight companion set journey destroy power one ring save middleearth dark lord sauron meek hobbit shire eight companion set journey destroy power one ring save middleearth dark lord sauron action adventur drama peter jackson elijah wood ian mckellen orlando bloom sean bean,meek hobbit shire eight companion set journey destroy powerful one ring save middleearth dark lord sauron meek hobbit shire eight companion set journey destroy powerful one ring save middleearth dark lord sauron action adventure drama peter jackson elijah wood ian mckellen orlando bloom sean bean,"[5, 226, 13, 618, 169]","[5, 226, 618, 162, 267]"
11,Forrest Gump,presidencies kennedy johnson events vietnam watergate historical events unfold perspective alabama man iq whose desire reunited childhood sweetheart presidencies kennedy johnson events vietnam watergate historical events unfold perspective alabama man iq whose desire reunited childhood sweetheart drama romance robert zemeckis tom hanks robin wright gary sinise sally field,presid kennedi johnson event vietnam waterg histor event unfold perspect alabama man iq whose desir reunit childhood sweetheart presid kennedi johnson event vietnam waterg histor event unfold perspect alabama man iq whose desir reunit childhood sweetheart drama romanc robert zemecki tom hank robin wright gari sinis salli field,presidencies kennedy johnson events vietnam watergate historical events unfold perspective alabama man iq whose desire reunite childhood sweetheart presidencies kennedy johnson events vietnam watergate historical events unfold perspective alabama man iq whose desire reunite childhood sweetheart drama romance robert zemeckis tom hanks robin wright gary sinise sally field,"[134, 350, 127, 705, 667]","[134, 350, 705, 127, 766]"
12,"Il buono, il brutto, il cattivo",bounty hunting scam joins two men uneasy alliance third race find fortune gold buried remote cemetery bounty hunting scam joins two men uneasy alliance third race find fortune gold buried remote cemetery western sergio leone clint eastwood eli wallach lee van cleef aldo giuffrè,bounti hunt scam join two men uneasi allianc third race find fortun gold buri remot cemeteri bounti hunt scam join two men uneasi allianc third race find fortun gold buri remot cemeteri western sergio leon clint eastwood eli wallach lee van cleef aldo giuffrè,bounty hunt scam join two men uneasy alliance third race find fortune gold bury remote cemetery bounty hunt scam join two men uneasy alliance third race find fortune gold bury remote cemetery western sergio leone clint eastwood eli wallach lee van cleef aldo giuffrè,"[115, 174, 508, 0, 193]","[115, 174, 508, 0, 193]"
13,The Lord of the Rings: The Two Towers,frodo sam edge closer mordor help shifty gollum divided fellowship makes stand saurons new ally saruman hordes isengard frodo sam edge closer mordor help shifty gollum divided fellowship makes stand saurons new ally saruman hordes isengard action adventure drama peter jackson elijah wood ian mckellen viggo mortensen orlando bloom,frodo sam edg closer mordor help shifti gollum divid fellowship make stand sauron new alli saruman hord isengard frodo sam edg closer mordor help shifti gollum divid fellowship make stand sauron new alli saruman hord isengard action adventur drama peter jackson elijah wood ian mckellen viggo mortensen orlando bloom,frodo sam edge closer mordor help shifty gollum divide fellowship make stand saurons new ally saruman hordes isengard frodo sam edge closer mordor help shifty gollum divide fellowship make stand saurons new ally saruman hordes isengard action adventure drama peter jackson elijah wood ian mckellen viggo mortensen orlando bloom,"[5, 10, 982, 59, 704]","[5, 10, 59, 704, 458]"
14,The Matrix,beautiful stranger leads computer hacker neo forbidding underworld discovers shocking truththe life knows elaborate deception evil cyberintelligence beautiful stranger leads computer hacker neo forbidding underworld discovers shocking truththe life knows elaborate deception evil cyberintelligence action scifi lana wachowski lilly wachowski keanu reeves laurence fishburne carrieanne moss,beauti stranger lead comput hacker neo forbid underworld discov shock truthth life know elabor decept evil cyberintellig beauti stranger lead comput hacker neo forbid underworld discov shock truthth life know elabor decept evil cyberintellig action scifi lana wachowski lilli wachowski keanu reev laurenc fishburn carrieann moss,beautiful stranger lead computer hacker neo forbid underworld discover shock truththe life know elaborate deception evil cyberintelligence beautiful stranger lead computer hacker neo forbid underworld discover shock truththe life know elaborate deception evil cyberintelligence action scifi lana wachowski lilly wachowski keanu reeve laurence fishburne carrieanne moss,"[121, 250, 202, 805, 48]","[173, 121, 174, 250, 202]"
15,Goodfellas,story henry hill life mob covering relationship wife karen hill mob partners jimmy conway tommy devito italianamerican crime syndicate story henry hill life mob covering relationship wife karen hill mob partners jimmy conway tommy devito italianamerican crime syndicate biography crime drama martin scorsese robert de niro ray liotta joe pesci lorraine bracco,stori henri hill life mob cover relationship wife karen hill mob partner jimmi conway tommi devito italianamerican crime syndic stori henri hill life mob cover relationship wife karen hill mob partner jimmi conway tommi devito italianamerican crime syndic biographi crime drama martin scorses robert de niro ray liotta joe pesci lorrain bracco,story henry hill life mob cover relationship wife karen hill mob partner jimmy conway tommy devito italianamerican crime syndicate story henry hill life mob cover relationship wife karen hill mob partner jimmy conway tommy devito italianamerican crime syndicate biography crime drama martin scorsese robert de niro ray liotta joe pesci lorraine bracco,"[147, 3, 484, 809, 827]","[147, 3, 484, 809, 827]"
16,Star Wars: Episode V - The Empire Strikes Back,rebels brutally overpowered empire ice planet hoth luke skywalker begins jedi training yoda friends pursued darth vader bounty hunter named boba fett galaxy rebels brutally overpowered empire ice planet hoth luke skywalker begins jedi training yoda friends pursued darth vader bounty hunter named boba fett galaxy action adventure fantasy irvin kershner mark hamill harrison ford carrie fisher billy dee williams,rebel brutal overpow empir ice planet hoth luke skywalk begin jedi train yoda friend pursu darth vader bounti hunter name boba fett galaxi rebel brutal overpow empir ice planet hoth luke skywalk begin jedi train yoda friend pursu darth vader bounti hunter name boba fett galaxi action adventur fantasi irvin kershner mark hamil harrison ford carri fisher billi dee william,rebel brutally overpower empire ice planet hoth luke skywalker begin jedi train yoda friends pursue darth vader bounty hunter name boba fett galaxy rebel brutally overpower empire ice planet hoth luke skywalker begin jedi train yoda friends pursue darth vader bounty hunter name boba fett galaxy action adventure fantasy irvin kershner mark hamill harrison ford carrie fisher billy dee williams,"[29, 109, 62, 155, 796]","[29, 109, 796, 155, 221]"
17,One Flew Over the Cuckoo's Nest,criminal pleads insanity admitted mental institution rebels oppressive nurse rallies scared patients criminal pleads insanity admitted mental institution rebels oppressive nurse rallies scared patients drama milos forman jack nicholson louise fletcher michael berryman peter brocco,crimin plead insan admit mental institut rebel oppress nurs ralli scare patient crimin plead insan admit mental institut rebel oppress nurs ralli scare patient drama milo forman jack nicholson louis fletcher michael berryman peter brocco,criminal plead insanity admit mental institution rebel oppressive nurse rally scar patients criminal plead insanity admit mental institution rebel oppressive nurse rally scar patients drama milos forman jack nicholson louise fletcher michael berryman peter brocco,"[130, 145, 694, 752, 564]","[752, 139, 289, 141, 130]"
